CRIMHIST,DISTRICT,MONSEX,NEWCIT,NEWEDUC,NEWRACE,OFFTYPSB,TOTPRISN,AGE
0,6,0,0,3,1,21,12,43
1,84,0,0,3,1,13,120,39
1,84,0,1,1,3,27,2,33
0,5,0,0,3,6,18,0,44
1,53,0,0,3,2,13,60,42
1,53,0,0,3,2,13,101,42
1,84,0,1,1,3,27,3,33
1,84,0,1,1,3,27,0,20
1,30,0,0,3,1,10,160,37
0,73,0,0,6,6,10,0,51
,22,1,0,,1,12,0,52
1,73,1,0,5,1,18,70,31
1,73,0,1,3,3,27,51,29
1,8,0,0,3,1,10,0,43
1,30,0,0,5,6,30,0,63
1,70,0,1,1,3,27,8,34
1,69,0,0,3,6,5,44,33
1,69,0,0,3,6,5,119,35
1,89,0,1,1,1,27,0,50
1,70,0,1,1,3,27,14,29
1,69,0,0,1,6,4,36,30
1,46,0,0,1,2,10,120,43
1,69,0,0,3,6,17,0,21
0,40,0,0,5,1,4,20,24
1,68,0,0,3,6,10,48,37
1,68,1,0,5,1,10,0,29
1,68,0,0,5,1,13,33,30
1,68,0,0,3,1,10,12,21
1,68,0,0,5,6,5,51,30
1,70,0,1,1,3,27,45,33
1,67,0,1,3,3,18,11,26
1,67,0,0,5,1,28,60,50
1,67,1,1,3,3,10,0,35
1,67,0,0,3,1,10,48,33
1,67,0,0,1,1,10,36,45
1,67,1,0,3,1,10,42,30
1,40,1,0,5,1,18,15,64
1,6,0,0,6,1,23,0,53
1,84,0,1,1,3,27,2,38
0,67,0,0,3,1,28,48,31
1,62,0,0,3,1,18,0,50
1,38,0,0,5,2,10,78,27
0,67,1,0,3,1,10,0,40
1,64,0,0,1,2,13,104,21
1,67,0,0,3,1,10,72,57
1,22,0,1,5,3,27,18,38
0,66,0,0,3,1,18,0,29
1,70,0,1,1,3,27,70,55
0,40,0,0,3,2,6,57,23
1,67,0,0,3,2,30,18,50
1,67,0,0,3,1,13,36,54
1,13,0,0,3,1,18,48,76
1,70,0,1,1,3,27,12,54
1,65,0,0,1,2,13,54,43
1,69,0,0,3,6,15,41,34
0,78,0,1,1,2,18,0,62
1,47,0,0,3,1,13,0,50
0,70,0,0,1,1,18,18,48
1,84,1,1,1,3,27,0,32
1,82,0,1,1,3,27,18,46
1,84,0,1,1,3,27,1,44
1,84,0,1,1,3,27,2,35
1,84,0,1,3,3,10,4,21
1,2,0,0,3,1,18,15,50
1,71,0,1,3,3,27,46,44
1,69,0,0,3,6,5,12,38
1,25,0,0,5,2,10,46,21
1,12,0,1,1,3,27,0,30
1,69,0,0,3,6,2,48,34
1,51,0,0,3,1,10,60,29
1,31,0,0,3,3,13,102,23
1,51,0,0,3,2,13,61,29
1,12,0,0,1,2,13,55,28
1,69,0,1,1,3,10,9996,48
,87,0,,,2,35,0,51
1,5,0,0,6,2,18,0,40
1,39,0,0,3,3,6,60,35
1,53,0,0,3,2,10,144,35
0,0,0,0,5,1,18,4,79
1,34,0,0,5,1,17,0,46
1,70,0,1,1,3,27,8,40
1,39,0,0,5,2,6,24,38
1,84,0,1,1,3,27,1,26
1,84,0,1,1,3,27,1,26
1,61,0,0,3,1,18,10,34
1,70,0,0,1,1,13,20,25
1,84,0,1,1,3,27,1,25
1,84,0,1,1,3,27,0,33
1,14,0,0,5,1,17,0,51
1,31,0,0,3,3,13,192,51
1,70,0,1,1,3,10,35,41
1,2,0,0,5,1,6,72,31
1,41,1,1,1,3,27,20,32
1,84,0,1,1,3,27,1,22
1,89,1,0,5,1,10,135,34
1,41,1,1,1,3,27,18,40
1,49,0,1,,3,27,4,28
1,70,0,1,1,3,10,18,22
1,48,0,0,3,3,24,108,25
1,84,0,1,1,3,27,1,30
1,84,0,1,1,3,27,1,25
1,84,0,1,1,3,27,1,24
1,84,0,1,1,3,27,0,35
1,84,0,1,1,3,27,1,22
1,84,0,1,1,3,27,0,29
1,84,0,1,1,3,27,0,35
1,70,0,1,1,3,27,10,42
0,14,1,0,3,1,10,0,49
1,14,0,0,5,2,10,60,23
1,14,1,0,3,2,18,0,54
1,13,0,0,3,2,10,15,43
1,31,0,1,1,3,27,60,46
1,84,0,1,1,3,27,0,21
1,60,1,0,5,1,10,0,30
1,85,0,1,1,3,27,17,30
1,60,0,0,1,1,10,84,28
1,8,1,0,6,2,17,0,45
1,70,0,1,1,3,27,13,23
1,5,0,0,3,2,10,120,36
1,73,0,0,1,2,10,48,59
0,30,0,1,1,3,10,135,57
1,31,0,0,3,3,13,130,24
0,30,1,0,3,1,19,0,49
1,31,0,0,5,3,10,30,66
1,42,1,1,1,3,27,0,41
,74,1,1,,3,27,0,44
1,49,1,0,3,1,10,188,32
1,74,0,0,1,3,27,10,23
1,70,0,1,1,3,27,35,28
1,67,0,0,1,1,30,21,36
1,31,0,1,1,3,10,120,48
1,60,0,0,1,2,30,0,40
1,34,0,0,3,2,13,68,28
1,40,0,0,5,1,34,15,58
1,73,0,1,,3,27,46,45
0,70,0,1,1,3,10,46,45
0,47,0,0,3,1,18,24,66
1,8,0,0,1,2,10,120,33
1,42,0,1,,3,27,0,32
1,49,0,0,5,2,10,21,59
1,61,0,0,3,1,19,30,53
1,70,1,0,3,3,27,6,41
1,61,0,0,3,3,6,36,28
1,61,0,0,3,3,10,57,25
1,61,0,1,1,3,27,15,36
1,74,0,0,6,1,10,30,54
1,74,0,1,,3,27,4,44
0,84,0,1,1,3,10,5,28
1,60,0,0,5,2,11,0,30
1,70,0,1,1,3,27,12,28
1,90,0,1,1,3,27,15,52
1,54,0,0,3,1,10,21,72
1,57,0,0,1,3,10,24,31
1,72,0,1,1,3,27,37,44
1,57,1,0,5,2,10,24,44
1,57,0,0,5,3,10,36,38
1,57,0,0,5,1,35,0,59
1,66,0,0,5,2,13,60,30
1,49,0,0,5,1,28,86,32
1,54,0,0,3,2,10,120,27
1,46,0,0,1,2,6,60,23
1,24,0,0,5,1,18,30,47
1,31,0,1,3,3,10,21,77
1,0,0,0,6,1,27,13,40
1,43,0,0,3,2,10,30,50
1,51,0,0,5,2,10,0,22
1,84,0,1,1,3,27,8,39
1,67,0,1,1,3,30,21,40
1,67,0,1,3,3,27,33,32
1,51,1,0,3,1,10,72,33
1,83,0,0,3,2,10,46,37
1,16,0,0,5,2,17,24,49
1,51,0,0,3,6,10,37,38
1,10,0,0,1,3,10,18,35
1,83,0,1,1,1,18,6,53
1,41,0,0,3,2,10,292,34
1,41,0,0,1,3,10,72,52
1,53,1,0,3,1,19,0,47
1,42,0,1,,3,27,0,33
1,78,0,0,1,3,10,60,31
1,66,0,0,3,2,18,144,47
1,84,0,1,1,3,27,0,19
1,30,0,0,3,2,20,60,41
1,42,0,1,,3,27,0,27
1,78,0,0,,2,13,27,19
1,51,0,0,1,2,13,88,32
0,22,0,0,6,6,18,24,23
,74,0,1,,2,27,0,24
1,74,1,1,,3,27,0,23
1,58,0,0,3,2,10,16,40
1,10,0,0,3,2,10,60,28
1,30,0,0,3,1,35,18,40
0,30,0,1,3,3,18,78,31
1,78,0,1,5,3,10,108,32
0,22,0,0,6,6,18,39,23
1,84,1,0,5,1,10,27,45
1,35,0,0,3,2,13,137,28
1,8,0,0,3,3,10,0,49
0,12,0,0,3,1,18,70,59
1,42,1,0,,2,17,0,22
1,49,0,0,5,1,10,46,44
1,12,0,0,6,1,18,31,55
1,49,1,0,3,1,22,24,53
1,42,0,1,,3,27,0,30
0,42,0,1,1,3,10,12,25
1,16,0,0,5,2,13,41,33
0,42,0,1,6,3,18,0,41
1,42,0,1,1,3,27,0,43
0,12,0,1,5,3,23,96,50
1,70,0,1,1,3,10,18,45
1,42,0,1,,3,27,0,18
1,70,0,1,1,3,27,0,31
0,8,0,0,5,1,23,0,54
1,8,0,0,3,3,10,7,49
0,42,0,1,1,3,10,15,29
1,70,0,1,3,3,27,0,38
1,70,0,1,1,3,27,18,43
1,22,0,0,5,1,28,216,50
0,8,0,0,6,6,18,12,56
1,74,1,0,5,3,10,41,39
1,42,0,1,,3,27,0,28
1,31,0,1,1,3,10,30,51
0,6,0,0,3,1,27,0,46
1,42,0,0,3,3,4,262,33
1,52,1,0,3,2,24,3,54
1,49,1,0,3,1,10,46,29
0,23,0,0,6,1,18,33,45
1,53,0,0,3,1,4,132,53
1,84,0,1,1,3,27,0,37
1,52,0,0,6,1,27,0,53
1,52,1,0,5,3,23,48,38
1,6,1,0,3,1,10,77,30
