POOFFICE,TOTPRISN,TIMSERVM,TIMSERVD,TOTDAYS,SENTIMP,MONRACE,MONSEX,NEWEDUC,NEWRACE,OFFTYPSB,NEWCIT,AGE,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,HISPORIG
1,0,32,9,0,1,1,0,3,3,10,0,49,1,211,1,8,2
2,70,0,0,0,1,1,0,3,1,18,0,59,1,211,0,12,1
3,0,0,0,0,4,2,1,1,2,17,0,22,1,211,1,42,1
1,46,0,0,0,1,1,0,5,1,10,0,44,1,211,1,49,1
2,31,0,0,0,1,1,0,6,1,18,0,55,1,211,1,12,1
3,24,0,0,0,1,1,1,3,1,22,0,53,1,211,1,49,1
3,0,0,0,0,4,8,0,5,3,27,1,30,3,40,1,42,2
3,12,0,0,1,1,1,0,1,3,10,1,25,3,49,0,42,2
1,41,0,0,0,1,2,0,5,2,13,0,33,1,211,1,16,1
3,0,4,17,0,1,1,0,6,3,18,1,41,2,49,0,42,2
3,0,997,997,0,1,1,0,1,3,27,1,43,3,49,1,42,2
2,96,0,0,0,1,1,0,5,3,23,1,50,2,59,0,12,2
2,18,0,0,0,1,1,0,1,3,10,1,45,3,49,1,70,2
3,0,0,0,0,4,1,0,1,3,27,1,18,3,49,1,42,2
2,0,6,3,0,1,1,0,1,3,27,1,31,3,49,1,70,2
1,0,997,997,0,1,1,0,5,1,23,0,54,1,211,0,8,1
1,7,0,0,0,1,1,0,3,3,10,0,49,1,211,1,8,2
3,15,0,0,0,1,1,0,1,3,10,1,29,3,49,0,42,2
2,0,4,14,0,1,1,0,3,3,27,1,38,3,49,1,70,2
2,18,0,0,0,1,1,0,1,3,27,1,43,3,49,1,70,2
2,216,0,0,0,1,1,0,5,1,28,0,50,1,211,1,22,1
1,12,0,0,1,1,7,0,6,6,18,0,56,1,211,0,8,1
3,41,0,0,0,1,1,1,5,3,10,0,39,1,211,1,74,2
3,0,0,0,0,4,1,0,3,3,27,1,28,3,49,1,42,2
1,30,0,0,0,1,1,0,1,3,10,1,51,2,20,1,31,2
1,0,0,0,0,4,1,0,3,1,27,0,46,1,211,0,6,1
5,262,0,0,0,1,1,0,3,3,4,0,33,1,211,1,42,2
1,3,0,0,0,2,2,1,3,2,24,0,54,1,211,1,52,1
3,46,0,0,0,1,1,1,3,1,10,0,29,1,211,1,49,1
1,33,0,0,0,1,1,0,6,1,18,0,45,1,211,0,23,1
1,132,0,0,0,1,1,0,3,1,4,0,53,1,211,1,53,1
1,0,0,0,23,1,1,0,1,3,27,1,37,3,49,1,84,2
1,0,0,0,0,4,1,0,6,1,27,0,53,1,211,1,52,1
1,48,0,0,0,1,1,1,5,3,23,0,38,1,211,1,52,2
1,77,0,0,0,1,1,1,3,1,10,0,30,1,211,1,6,1
1,60,0,0,0,1,1,0,1,3,10,0,39,1,211,1,52,2
1,12,0,0,1,1,1,0,1,3,27,1,34,3,49,1,52,2
2,30,0,0,0,1,2,0,3,2,18,0,32,1,211,1,70,1
1,44,0,0,0,1,1,0,3,3,10,1,36,3,28,0,31,2
3,24,0,0,0,1,1,1,6,3,18,0,48,1,211,0,31,2
3,165,0,0,0,1,1,1,5,1,10,0,37,1,211,1,39,1
1,145,0,0,0,1,2,0,3,2,10,0,45,1,211,1,47,1
3,27,0,0,0,1,1,0,3,1,19,0,46,1,211,1,49,1
3,27,0,0,0,1,1,0,1,1,13,0,27,1,211,1,49,1
1,9,0,0,0,2,2,1,5,2,22,0,40,1,211,1,47,1
6,190,0,0,0,1,1,0,3,1,13,0,37,1,211,1,86,1
